codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,total_recomendacoes,ocorrencia_dia_hora,regiao
40211,40211,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2010-01-03 12:00:00,SUDESTE
40349,40349,INCIDENTE,BELÉM,PA,SBBE,0,2010-01-03 11:05:00,NORTE
40351,40351,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,0,2010-01-03 03:00:00,SUDESTE
39527,39527,ACIDENTE,LUCAS DO RIO VERDE,MT,NA,0,2010-01-04 17:30:00,CENTRO
40324,40324,INCIDENTE,PELOTAS,RS,SBPK,0,2010-01-05 19:25:00,SUL
39807,39807,INCIDENTE,SALVADOR,BA,NA,0,2010-01-06 17:53:00,NORTEDESTE
40215,40215,INCIDENTE,COARI,AM,SBUY,0,2010-01-07 18:40:00,NORTE
39707,39707,INCIDENTE GRAVE,CANUTAMA,AM,NA,3,2010-01-09 12:30:00,NORTE
39156,39156,INCIDENTE GRAVE,CASCAVEL,PR,SBCA,2,2010-01-10 23:15:00,SUL
39711,39711,INCIDENTE GRAVE,PARÁ DE MINAS,MG,NA,0,2010-01-10 20:00:00,SUDESTE
39789,39789,INCIDENTE,SÃO PEDRO DO SUL,RS,NA,0,2010-01-10 21:30:00,SUL
40069,40069,ACIDENTE,SÃO PAULO,SP,SBMT,8,2010-01-10 14:50:00,SUDESTE
40414,40414,INCIDENTE,BRASÍLIA,DF,SBBR,0,2010-01-10 03:00:00,CENTRO
39507,39507,ACIDENTE,PRIMAVERA DO LESTE,MT,NA,2,2010-01-11 17:00:00,CENTRO
40107,40107,ACIDENTE,GURUPÁ,PA,SNGU,0,2010-01-12 14:30:00,NORTE
39315,39315,ACIDENTE,CANUTAMA,AM,NA,0,2010-01-15 21:22:00,NORTE
39809,39809,INCIDENTE,SÃO PAULO,SP,NA,0,2010-01-15 15:00:00,SUDESTE
39810,39810,INCIDENTE,SALVADOR,BA,NA,0,2010-01-15 18:23:00,NORTEDESTE
39828,39828,INCIDENTE,SANTOS,SP,NA,0,2010-01-15 17:45:00,SUDESTE
44575,44575,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2010-01-17 12:27:00,SUDESTE
40310,40310,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,0,2010-01-18 19:32:00,NORTE
39320,39320,ACIDENTE,FAROL,PR,NA,4,2010-01-19 18:30:00,SUL
39851,39851,INCIDENTE,PASSO FUNDO,RS,SBPF,0,2010-01-19 03:00:00,SUL
40311,40311,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2010-01-19 13:20:00,SUDESTE
41577,41577,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2010-01-19 12:16:00,SUDESTE
39772,39772,INCIDENTE,UBERLÂNDIA,MG,NA,0,2010-01-20 18:58:00,SUDESTE
39847,39847,INCIDENTE,SOROCABA,SP,NA,0,2010-01-20 13:10:00,SUDESTE
39768,39768,INCIDENTE,CAMPINAS,SP,NA,0,2010-01-21 20:45:00,SUDESTE
39321,39321,ACIDENTE,PONTES E LACERDA,MT,NA,2,2010-01-23 13:00:00,CENTRO
39709,39709,INCIDENTE GRAVE,CURITIBA,PR,SBBI,2,2010-01-23 16:36:00,SUL
39849,39849,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2010-01-23 03:30:00,SUDESTE
39323,39323,ACIDENTE,CASIMIRO DE ABREU,RJ,NA,0,2010-01-24 16:15:00,SUDESTE
39318,39318,ACIDENTE,SENADOR JOSÉ PORFÍRIO,PA,NA,5,2010-01-25 16:20:00,NORTE
39848,39848,INCIDENTE,GUARULHOS,SP,SBGR,0,2010-01-25 17:05:00,SUDESTE
39322,39322,ACIDENTE,SÃO BERNARDO DO CAMPO,SP,NA,2,2010-01-26 13:50:00,SUDESTE
39487,39487,INCIDENTE GRAVE,PALMAS,TO,SBPJ,0,2010-01-26 16:50:00,NORTE
39850,39850,INCIDENTE,BELÉM,PA,SBJC,0,2010-01-26 14:30:00,NORTE
39319,39319,ACIDENTE,IPERÓ,SP,NA,3,2010-01-27 11:25:00,SUDESTE
39627,39627,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,0,2010-01-27 16:15:00,SUL
40617,40617,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2010-01-27 20:06:00,SUDESTE
39158,39158,INCIDENTE,BELÉM,PA,NA,0,2010-01-28 16:00:00,NORTE
39687,39687,INCIDENTE GRAVE,PORTO UNIÃO,SC,NA,1,2010-01-28 10:30:00,SUL
39747,39747,INCIDENTE,CAIRU,BA,SNCL,4,2010-01-31 19:47:00,NORTEDESTE
39787,39787,INCIDENTE,GOIÂNIA,GO,SBGO,0,2010-01-31 21:00:00,CENTRO
39748,39748,INCIDENTE,CAMBÉ,PR,NA,0,2010-02-03 14:30:00,SUL
39316,39316,ACIDENTE,RIO DO OESTE,SC,NA,2,2010-02-04 17:55:00,SUL
39155,39155,INCIDENTE,BELO HORIZONTE,MG,NA,0,2010-02-05 12:55:00,SUDESTE
39176,39176,INCIDENTE,SÃO LUÍS,MA,NA,0,2010-02-05 09:30:00,NORTEDESTE
39235,39235,ACIDENTE,ITUMBIARA,GO,NA,3,2010-02-06 17:20:00,CENTRO
39295,39295,ACIDENTE,RIO DE JANEIRO,RJ,NA,0,2010-02-06 21:09:00,SUDESTE
40207,40207,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,0,2010-02-06 22:30:00,NORTE
39115,39115,ACIDENTE,CORRENTINA,BA,SNTY,2,2010-02-07 17:40:00,NORTEDESTE
39367,39367,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,0,2010-02-07 22:59:00,SUDESTE
39405,39405,ACIDENTE,ITIQUIRA,MT,NA,1,2010-02-07 11:30:00,CENTRO
40290,40290,INCIDENTE,VITÓRIA,ES,SBVT,0,2010-02-07 02:09:00,SUDESTE
39178,39178,INCIDENTE,CAMPINAS,SP,NA,0,2010-02-08 12:33:00,SUDESTE
39972,39972,INCIDENTE,POÇOS DE CALDAS,MG,SBPC,0,2010-02-08 13:55:00,SUDESTE
39969,39969,INCIDENTE,SALVADOR,BA,SBSV,4,2010-02-09 23:50:00,NORTEDESTE
39275,39275,ACIDENTE,SÃO PAULO,SP,NA,3,2010-02-10 09:03:00,SUDESTE
39967,39967,INCIDENTE,TEIXEIRA DE FREITAS,BA,NA,0,2010-02-11 15:01:00,NORTEDESTE
39365,39365,INCIDENTE,GOIÂNIA,GO,NA,0,2010-02-12 16:48:00,CENTRO
41377,41377,ACIDENTE,SERRA NEGRA,SP,NA,0,2010-02-14 17:30:00,SUDESTE
39930,39930,INCIDENTE GRAVE,CURITIBA,PR,SBCT,2,2010-02-16 16:25:00,SUL
39992,39992,ACIDENTE,SÃO PAULO,SP,SBMT,11,2010-02-17 20:07:00,SUDESTE
39386,39386,INCIDENTE,SÃO PAULO,SP,NA,0,2010-02-18 10:10:00,SUDESTE
40325,40325,INCIDENTE GRAVE,EXU,PE,NA,0,2010-02-19 10:20:00,NORTEDESTE
39385,39385,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,1,2010-02-21 17:00:00,CENTRO
39988,39988,INCIDENTE,CURITIBA,PR,SBBI,0,2010-02-22 16:00:00,SUL
40318,40318,INCIDENTE,JUIZ DE FORA,MG,NA,0,2010-02-22 13:47:00,SUDESTE
39727,39727,INCIDENTE GRAVE,VÁRZEA GRANDE,MT,SBCY,0,2010-02-23 19:42:00,CENTRO
39317,39317,ACIDENTE,RIO VERDE,GO,SWLC,0,2010-02-24 13:00:00,CENTRO
39987,39987,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,0,2010-02-24 19:37:00,SUDESTE
41181,41181,INCIDENTE,CASCAVEL,PR,SBCA,0,2010-02-25 11:17:00,SUL
39933,39933,ACIDENTE,BELO HORIZONTE,MG,NA,1,2010-02-26 11:19:00,SUDESTE
40296,40296,INCIDENTE,CURITIBA,PR,NA,0,2010-02-26 22:32:00,SUL
40316,40316,INCIDENTE GRAVE,TIMÓTEO,MG,NA,3,2010-02-26 14:40:00,SUDESTE
40331,40331,INCIDENTE,CAMPINAS,SP,NA,0,2010-02-28 09:00:00,SUDESTE
40314,40314,INCIDENTE,SÃO PAULO,SP,NA,0,2010-03-04 23:50:00,SUDESTE
39916,39916,INCIDENTE GRAVE,MANAUS,AM,SBEG,2,2010-03-07 19:35:00,NORTE
39910,39910,INCIDENTE,GUARULHOS,SP,SBGR,0,2010-03-08 00:49:00,SUDESTE
39887,39887,ACIDENTE,BELO HORIZONTE,MG,SBPR,1,2010-03-09 17:45:00,SUDESTE
39914,39914,INCIDENTE,LONDRINA,PR,SBLO,0,2010-03-09 21:00:00,SUL
40312,40312,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,NA,0,2010-03-09 19:18:00,SUDESTE
39913,39913,INCIDENTE GRAVE,RIO BRANCO,AC,SBRB,3,2010-03-10 06:17:00,NORTE
40150,40150,INCIDENTE GRAVE,SANTA MARIA,RS,SBSM,0,2010-03-10 17:20:00,SUL
40273,40273,INCIDENTE,RIO BRANCO,AC,SBRB,0,2010-03-10 14:30:00,NORTE
39993,39993,INCIDENTE GRAVE,LONDRINA,PR,SBLO,2,2010-03-11 12:30:00,SUL
41986,41986,INCIDENTE,GUARULHOS,SP,SBGR,0,2010-03-11 03:00:00,SUDESTE
40260,40260,INCIDENTE,BELO HORIZONTE,MG,NA,0,2010-03-12 18:10:00,SUDESTE
41988,41988,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,0,2010-03-12 03:00:00,SUL
40027,40027,INCIDENTE,BLUMENAU,SC,SSBL,0,2010-03-15 21:05:00,SUL
40320,40320,INCIDENTE,GUARULHOS,SP,SBGR,0,2010-03-15 09:57:00,SUDESTE
40322,40322,INCIDENTE,BELÉM,PA,SBJC,0,2010-03-15 18:15:00,NORTE
40307,40307,INCIDENTE,BELÉM,PA,SBJC,0,2010-03-16 20:00:00,NORTE
40168,40168,INCIDENTE,MONTES CLAROS,MG,SBMK,0,2010-03-17 01:34:00,SUDESTE
40329,40329,INCIDENTE,SÃO PAULO,SP,SBSP,0,2010-03-18 12:10:00,SUDESTE
41998,41998,INCIDENTE,CONFINS,MG,SBCF,0,2010-03-18 13:37:00,SUDESTE
41999,41999,INCIDENTE,GUARULHOS,SP,SBGR,0,2010-03-18 03:00:00,SUDESTE
40088,40088,ACIDENTE,UIRAMUTÃ,RR,NA,3,2010-03-19 13:10:00,NORTE
40148,40148,ACIDENTE,CAMPO GRANDE,MS,NA,1,2010-03-19 19:30:00,CENTRO
40170,40170,INCIDENTE,MANAUS,AM,SBEG,0,2010-03-20 11:00:00,NORTE
40210,40210,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,0,2010-03-20 20:02:00,SUDESTE
40212,40212,INCIDENTE,UBERLÂNDIA,MG,SBUL,0,2010-03-20 12:14:00,SUDESTE
40332,40332,INCIDENTE,MACAÉ,RJ,NA,0,2010-03-20 21:58:00,SUDESTE
40149,40149,ACIDENTE,LUZIÂNIA,GO,SWUZ,2,2010-03-21 20:45:00,CENTRO
40209,40209,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,0,2010-03-21 13:46:00,SUDESTE
41939,41939,INCIDENTE,CONFINS,MG,SBCF,0,2010-03-22 03:00:00,SUDESTE
40330,40330,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2010-03-24 11:35:00,SUDESTE
42781,42781,INCIDENTE,GUARULHOS,SP,SBGR,0,2010-03-25 03:00:00,SUDESTE
40087,40087,ACIDENTE,ANÁPOLIS,GO,SWNS,4,2010-03-26 10:45:00,CENTRO
40089,40089,ACIDENTE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,NA,0,2010-03-28 15:10:00,CENTRO
40827,40827,INCIDENTE,PENÁPOLIS,SP,NA,0,2010-03-30 20:45:00,SUDESTE
40287,40287,INCIDENTE,ITAJAÍ,SC,NA,0,2010-03-31 13:00:00,SUL
40326,40326,INCIDENTE,RECIFE,PE,NA,0,2010-03-31 15:20:00,NORTEDESTE
40288,40288,INCIDENTE,FORTALEZA,CE,SBFZ,0,2010-04-01 13:16:00,NORTEDESTE
40275,40275,INCIDENTE,BRASÍLIA,DF,SBBR,0,2010-04-02 18:15:00,CENTRO
40291,40291,INCIDENTE,CONFINS,MG,SBCF,0,2010-04-03 20:25:00,SUDESTE
40251,40251,INCIDENTE,FLORIANÓPOLIS,SC,NA,0,2010-04-04 17:00:00,SUL
40267,40267,INCIDENTE GRAVE,VERA CRUZ,BA,SNVR,2,2010-04-04 11:00:00,NORTEDESTE
40190,40190,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,3,2010-04-06 02:35:00,SUDESTE
40171,40171,ACIDENTE,PORTO NACIONAL,TO,SBPN,2,2010-04-07 18:45:00,NORTE
40269,40269,INCIDENTE GRAVE,ANÁPOLIS,GO,SWNS,1,2010-04-07 19:30:00,CENTRO
40147,40147,ACIDENTE,UNIÃO DA VITÓRIA,PR,SSUV,3,2010-04-08 14:20:00,SUL
40250,40250,ACIDENTE,LUZIÂNIA,GO,NA,0,2010-04-08 20:00:00,CENTRO
40292,40292,INCIDENTE,CAMPINAS,SP,SBKP,0,2010-04-08 20:30:00,SUDESTE
40213,40213,INCIDENTE GRAVE,GOIÂNIA,GO,SBNV,1,2010-04-09 21:00:00,CENTRO
40295,40295,INCIDENTE,RIO BRANCO,AC,SBRB,0,2010-04-11 19:20:00,NORTE
40214,40214,ACIDENTE,REDENÇÃO,PA,NA,1,2010-04-12 19:30:00,NORTE
40227,40227,INCIDENTE,AREALVA,SP,NA,0,2010-04-12 14:03:00,SUDESTE
40228,40228,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,0,2010-04-12 17:17:00,SUDESTE
40258,40258,INCIDENTE,MONTE ALEGRE,PA,NA,0,2010-04-12 18:10:00,NORTE
40327,40327,INCIDENTE,PORTO ALEGRE,RS,NA,0,2010-04-12 13:13:00,SUL
40826,40826,INCIDENTE,MARÍLIA,SP,SBML,0,2010-04-12 13:00:00,SUDESTE
40248,40248,INCIDENTE,PORTO ALEGRE,RS,SBPA,0,2010-04-13 18:47:00,SUL
40262,40262,INCIDENTE,SÃO PAULO,SP,SBSP,0,2010-04-14 01:42:00,SUDESTE
40261,40261,INCIDENTE,MACAÉ,RJ,SBME,0,2010-04-15 13:10:00,SUDESTE
40270,40270,INCIDENTE GRAVE,PIRASSUNUNGA,SP,SDPY,0,2010-04-15 20:15:00,SUDESTE
40323,40323,INCIDENTE,SÃO PAULO,SP,NA,0,2010-04-15 20:20:00,SUDESTE
40328,40328,ACIDENTE,CORRENTINA,BA,NA,0,2010-04-15 17:25:00,NORTEDESTE
40294,40294,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2010-04-16 20:00:00,SUDESTE
40352,40352,INCIDENTE,CUIABÁ,MT,NA,0,2010-04-16 20:50:00,CENTRO
40412,40412,ACIDENTE,MACAPÁ,AP,NA,0,2010-04-16 21:55:00,NORTE
40247,40247,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,0,2010-04-17 23:30:00,SUL
40350,40350,INCIDENTE GRAVE,UIRAMUTÃ,RR,NA,0,2010-04-17 20:30:00,NORTE
40293,40293,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,0,2010-04-18 16:23:00,SUDESTE
40413,40413,INCIDENTE,MACAÉ,RJ,SBME,0,2010-04-18 18:25:00,SUDESTE
40264,40264,ACIDENTE,CAMPO VERDE,MT,SWOZ,2,2010-04-20 16:30:00,CENTRO
40321,40321,INCIDENTE,LONDRINA,PR,NA,0,2010-04-20 16:11:00,SUL
40271,40271,ACIDENTE,RECIFE,PE,SNEM,2,2010-04-21 11:27:00,NORTEDESTE
40447,40447,ACIDENTE,MANGARATIBA,RJ,NA,0,2010-04-21 18:55:00,SUDESTE
40489,40489,INCIDENTE,CAMPINAS,SP,NA,0,2010-04-21 17:01:00,SUDESTE
40508,40508,INCIDENTE,BELO HORIZONTE,MG,NA,0,2010-04-21 14:44:00,SUDESTE
40576,40576,INCIDENTE,MACAÉ,RJ,SBME,0,2010-04-21 18:37:00,SUDESTE
40577,40577,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,NA,0,2010-04-21 12:52:00,SUDESTE
40581,40581,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,0,2010-04-21 13:20:00,SUDESTE
40554,40554,ACIDENTE,RESENDE,RJ,NA,8,2010-04-27 18:47:00,SUDESTE
40572,40572,ACIDENTE,PORTO ALEGRE,RS,SBPA,0,2010-04-28 14:10:00,SUL
40819,40819,INCIDENTE,NIQUELÂNDIA,GO,NA,0,2010-04-28 18:30:00,CENTRO
41610,41610,INCIDENTE,NAVEGANTES,SC,NA,0,2010-04-29 10:52:00,SUL
40583,40583,INCIDENTE,SALVADOR,BA,SBSV,1,2010-04-30 16:35:00,NORTEDESTE
40623,40623,INCIDENTE,BELO HORIZONTE,MG,SBBH,0,2010-04-30 09:55:00,SUDESTE
40652,40652,INCIDENTE GRAVE,CUIABÁ,MT,SJCY,0,2010-04-30 19:00:00,CENTRO
40573,40573,INCIDENTE GRAVE,ITAPETINGA,BA,NA,2,2010-05-01 15:40:00,NORTEDESTE
40575,40575,INCIDENTE,MANAUS,AM,SBEG,0,2010-05-01 16:15:00,NORTE
40774,40774,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2010-05-01 02:10:00,SUDESTE
40579,40579,INCIDENTE,CURITIBA,PR,SBBI,0,2010-05-04 13:00:00,SUL
40842,40842,INCIDENTE,SÃO PAULO,SP,NA,0,2010-05-04 18:00:00,SUDESTE
41629,41629,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,0,2010-05-04 13:19:00,SUDESTE
40621,40621,INCIDENTE GRAVE,POÇOS DE CALDAS,MG,SBPC,0,2010-05-05 21:05:00,SUDESTE
40622,40622,INCIDENTE,BELÉM,PA,NA,0,2010-05-05 17:10:00,NORTE
40821,40821,INCIDENTE,MANICORÉ,AM,NA,0,2010-05-05 09:32:00,NORTE
40620,40620,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,0,2010-05-06 15:50:00,SUDESTE
40624,40624,INCIDENTE,SÃO LUÍS,MA,SBSL,0,2010-05-06 17:05:00,NORTEDESTE
40825,40825,INCIDENTE,BELO HORIZONTE,MG,SBBH,0,2010-05-06 18:48:00,SUDESTE
40791,40791,INCIDENTE,MANAUS,AM,NA,0,2010-05-07 10:28:00,NORTE
40793,40793,ACIDENTE,PORTO NACIONAL,TO,SBPN,3,2010-05-07 16:41:00,NORTE
40837,40837,INCIDENTE,CUIABÁ,MT,NA,0,2010-05-07 22:17:00,CENTRO
40732,40732,INCIDENTE GRAVE,CAMAÇARI,BA,NA,5,2010-05-08 15:05:00,NORTEDESTE
40835,40835,INCIDENTE,UBERABA,MG,NA,0,2010-05-08 13:14:00,SUDESTE
40843,40843,ACIDENTE,LUCAS DO RIO VERDE,MT,NA,0,2010-05-08 18:30:00,CENTRO
40834,40834,INCIDENTE,ILHÉUS,BA,NA,0,2010-05-10 23:55:00,NORTEDESTE
40839,40839,ACIDENTE,ITÁPOLIS,SP,NA,0,2010-05-10 20:30:00,SUDESTE
41665,41665,INCIDENTE,MARABÁ,PA,SBMA,0,2010-05-11 18:32:00,NORTE
41649,41649,INCIDENTE,SÃO PAULO,SP,SBSP,0,2010-05-12 19:52:00,SUDESTE
40855,40855,ACIDENTE,MANAUS,AM,NA,4,2010-05-13 18:58:00,NORTE
41573,41573,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,0,2010-05-13 16:10:00,SUDESTE
40853,40853,INCIDENTE,MARÍLIA,SP,SBML,0,2010-05-14 18:25:00,SUDESTE
41574,41574,INCIDENTE,JUIZ DE FORA,MG,NA,0,2010-05-14 23:57:00,SUDESTE
40933,40933,ACIDENTE,CÁCERES,MT,SWKC,0,2010-05-15 20:40:00,CENTRO
41485,41485,INCIDENTE,MANICORÉ,AM,NA,0,2010-05-15 12:00:00,NORTE
41393,41393,INCIDENTE,LONDRINA,PR,SBLO,0,2010-05-17 11:15:00,SUL
41409,41409,INCIDENTE,BAGÉ,RS,NA,0,2010-05-17 14:20:00,SUL
41054,41054,INCIDENTE,MONTE ALEGRE,PA,NA,0,2010-05-18 14:55:00,NORTE
41174,41174,INCIDENTE,MACEIÓ,AL,SBMO,0,2010-05-18 21:50:00,NORTEDESTE
41053,41053,ACIDENTE,CASCAVEL,PR,SBCA,2,2010-05-19 08:10:00,SUL
41132,41132,INCIDENTE,SÃO PAULO,SP,NA,0,2010-05-20 03:00:00,SUDESTE
41155,41155,ACIDENTE,JUNDIAÍ,SP,SBJD,5,2010-05-20 19:35:00,SUDESTE
41177,41177,ACIDENTE,GOIÂNIA,GO,SBGO,0,2010-05-20 20:05:00,CENTRO
41179,41179,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,8,2010-05-20 22:20:00,CENTRO
41178,41178,INCIDENTE,CAMPINAS,SP,SDAM,0,2010-05-21 15:40:00,SUDESTE
